aX,aY,aZ,gX,gY,gZ
0.917,0.392,0.052,-3.601,-3.357,-1.038
0.929,0.400,0.063,-7.507,-0.549,4.089
0.947,0.414,0.070,-8.301,1.770,7.019
0.961,0.424,0.073,-7.019,2.319,7.507
0.970,0.432,0.078,-5.859,2.625,6.042
0.982,0.443,0.071,-5.493,3.052,2.747
0.988,0.433,0.055,-5.310,3.235,-1.709
0.987,0.415,0.049,-6.226,2.502,-5.676
0.979,0.411,0.067,-9.277,1.404,-9.277
0.969,0.401,0.094,-12.390,-0.183,-12.268
0.956,0.391,0.127,-13.855,-1.465,-14.771
0.940,0.385,0.157,-13.000,-2.197,-15.930
0.929,0.371,0.166,-9.827,-3.540,-15.564
0.924,0.350,0.161,-5.554,-4.944,-14.526
0.916,0.332,0.157,-1.770,-6.714,-13.489
0.904,0.306,0.132,1.465,-7.324,-11.780
0.898,0.300,0.119,2.441,-6.409,-9.033
0.898,0.304,0.107,1.465,-3.784,-5.249
0.912,0.336,0.093,0.061,0.610,-2.197
0.917,0.354,0.066,-2.258,6.714,-0.061
0.917,0.366,0.061,-6.653,11.536,0.732
0.908,0.367,0.065,-10.925,13.062,-0.305
0.907,0.360,0.070,-12.512,11.047,-1.953
0.916,0.359,0.086,-11.536,9.094,-3.418
0.926,0.351,0.101,-8.484,6.165,-4.211
0.939,0.334,0.108,-4.272,2.319,-4.639
0.944,0.339,0.121,0.000,-1.587,-4.883
0.955,0.335,0.130,4.517,-4.639,-5.493
0.966,0.335,0.130,8.057,-8.118,-6.775
0.990,0.358,0.124,9.338,-10.803,-8.240
1.001,0.369,0.114,8.667,-8.728,-11.353
0.982,0.361,0.105,6.104,-6.104,-14.709
0.971,0.343,0.109,2.686,-6.348,-16.846
0.953,0.322,0.122,0.549,-7.996,-18.738
0.939,0.283,0.129,0.610,-10.437,-20.630
0.918,0.261,0.151,1.343,-12.329,-21.606
0.896,0.237,0.162,2.441,-13.428,-21.423
0.883,0.217,0.165,4.822,-13.672,-19.531
0.875,0.223,0.164,6.958,-12.207,-15.503
0.877,0.225,0.141,8.972,-9.888,-9.949
0.891,0.243,0.130,8.972,-8.667,-4.395
0.913,0.264,0.121,7.751,-7.629,0.244
0.956,0.288,0.124,5.554,-7.812,2.747
0.972,0.311,0.137,3.906,-7.324,2.747
0.981,0.312,0.139,3.296,-6.226,0.732
0.966,0.310,0.144,2.991,-5.188,-2.197
0.938,0.294,0.154,2.991,-4.517,-4.211
0.910,0.269,0.152,3.723,-4.211,-5.310

1.538,-0.797,-0.540,11.414,-8.606,18.921
1.574,-0.949,-0.649,14.771,-13.550,18.127
1.589,-1.126,-0.782,21.729,-17.822,15.625
1.577,-1.370,-1.008,36.682,-22.400,11.047
1.586,-1.625,-1.205,52.246,-28.931,6.348
1.527,-1.813,-1.330,63.232,-36.621,2.747
1.465,-1.969,-1.435,67.566,-42.053,2.686
1.351,-2.011,-1.442,61.462,-42.297,13.123
1.199,-1.945,-1.372,48.889,-38.879,35.217
1.083,-1.794,-1.252,34.607,-35.339,64.636
0.946,-1.555,-1.146,24.902,-32.043,93.994
0.831,-1.271,-1.108,22.461,-33.020,116.760
0.739,-0.986,-1.058,22.217,-40.588,129.761
0.536,-0.676,-0.945,19.226,-53.162,130.615
0.304,-0.326,-0.803,16.357,-66.589,124.695
0.356,0.158,-0.524,8.789,-77.209,114.990
0.313,0.711,-0.099,-13.794,-67.810,93.811
-0.042,1.165,0.366,-54.077,-44.067,64.270
-0.556,1.463,0.588,-86.365,-29.358,51.270
-0.465,1.603,0.787,-98.755,-41.809,70.313
-0.280,1.803,1.058,-107.666,-64.026,96.802
-0.245,1.936,1.233,-108.765,-71.289,110.046
-0.211,2.090,1.353,-100.098,-78.491,116.455
-0.002,2.328,1.534,-94.116,-92.834,122.498
0.279,2.547,1.704,-92.651,-92.224,128.845
0.646,2.626,1.721,-89.539,-59.387,142.761
0.970,2.449,1.631,-90.942,-13.428,145.081
1.197,1.981,1.525,-95.947,8.484,117.493
1.349,1.391,1.455,-89.905,-8.057,55.603
1.208,0.876,1.319,-68.359,-53.345,-28.015
1.079,0.513,1.279,-43.518,-101.501,-104.492
0.732,0.380,1.222,-19.897,-111.206,-149.109
0.332,0.242,0.923,5.005,-83.862,-148.376
0.083,0.225,0.535,22.461,-34.424,-104.675
0.057,0.283,0.201,25.879,12.878,-42.114
0.108,0.373,-0.031,23.743,46.814,8.423
0.259,0.504,-0.141,20.386,58.777,36.926
0.475,0.677,-0.167,24.109,49.438,44.800
0.681,0.786,-0.154,24.780,33.447,38.452
0.943,0.833,-0.095,14.648,21.729,27.100
1.046,0.844,-0.015,-3.418,20.325,13.062
1.119,0.732,0.096,-22.644,19.836,-0.793
1.112,0.619,0.217,-35.461,14.282,-14.343
1.095,0.534,0.345,-37.476,6.348,-28.320
1.056,0.453,0.426,-31.555,-2.014,-39.917
0.999,0.375,0.461,-19.897,-9.033,-48.767
0.940,0.297,0.454,-7.080,-13.794,-54.688
0.884,0.209,0.398,2.502,-14.465,-56.580
0.812,0.155,0.317,8.728,-9.094,-52.368
0.746,0.153,0.235,10.620,0.671,-40.527
0.706,0.179,0.169,9.277,13.489,-22.888
0.728,0.228,0.119,6.653,27.039,-4.272
0.754,0.292,0.088,2.869,35.706,9.644
0.811,0.339,0.084,-0.305,35.461,17.090
0.869,0.353,0.089,-1.465,29.297,17.761
0.913,0.337,0.103,-0.183,19.897,13.062
0.932,0.320,0.136,2.625,11.230,5.127
0.927,0.304,0.146,8.057,4.395,-1.770
0.920,0.284,0.140,14.282,-0.183,-4.456
0.902,0.303,0.133,17.700,0.061,-3.601
0.891,0.296,0.097,19.531,5.005,1.770
0.872,0.307,0.058,19.653,9.766,8.667
0.868,0.351,0.017,19.043,13.184,14.343
0.911,0.394,-0.020,18.005,15.076,18.433
0.977,0.447,-0.039,14.160,14.343,18.860
1.000,0.472,-0.038,7.874,10.010,12.451
