aX,aY,aZ,gX,gY,gZ
-0.181,0.705,0.578,12.268,3.967,-5.615
-0.184,0.698,0.563,9.521,2.930,-7.263
-0.206,0.688,0.567,2.625,2.625,-5.798
-0.206,0.668,0.580,-5.310,2.197,-2.502
-0.179,0.649,0.623,-12.695,1.160,2.014
-0.178,0.637,0.665,-16.907,1.770,6.409
-0.148,0.640,0.702,-15.381,2.502,10.010
-0.118,0.648,0.722,-8.667,2.991,10.498
-0.111,0.674,0.705,0.793,3.113,8.057
-0.110,0.696,0.674,10.132,1.587,3.235
-0.121,0.710,0.648,14.893,-0.061,-1.282
-0.120,0.723,0.633,14.099,-0.244,-2.319
-0.104,0.732,0.642,8.362,-0.305,-0.977
-0.086,0.739,0.666,0.366,1.465,0.793
-0.084,0.747,0.706,-5.615,4.211,1.648
-0.100,0.754,0.708,-6.348,6.470,0.244
-0.102,0.756,0.702,-2.869,7.263,-3.296
-0.104,0.716,0.675,2.930,5.432,-8.179
-0.126,0.642,0.637,8.240,2.075,-14.404
-0.156,0.585,0.606,11.230,-1.465,-16.296
-0.165,0.550,0.608,9.644,-3.296,-11.902
-0.162,0.550,0.629,3.418,-2.441,-3.479
-0.119,0.589,0.675,-4.272,0.427,7.019
-0.071,0.661,0.737,-10.254,3.845,14.343
-0.065,0.730,0.740,-10.132,8.118,15.076
-0.045,0.793,0.728,-4.578,10.010,9.338
-0.041,0.821,0.688,3.784,9.216,-0.427
-0.048,0.829,0.642,12.146,7.385,-10.498
-0.072,0.812,0.602,14.526,6.958,-18.799
-0.104,0.776,0.591,9.827,7.629,-22.339
-0.128,0.728,0.629,-0.122,7.263,-21.729
-0.137,0.679,0.683,-9.155,6.470,-17.822
-0.145,0.639,0.706,-14.099,7.812,-12.024
-0.116,0.612,0.743,-16.479,7.324,-6.653
-0.088,0.601,0.768,-15.381,5.859,-3.296
-0.063,0.608,0.785,-9.216,5.493,-1.831
-0.043,0.635,0.765,0.061,6.104,-2.441
-0.030,0.668,0.729,9.705,6.348,-4.089
-0.033,0.703,0.682,16.663,7.263,-5.066
-0.036,0.740,0.635,19.775,8.301,-4.883
-0.038,0.779,0.611,17.456,9.277,-4.333
-0.023,0.815,0.601,11.108,10.193,-4.211
-0.015,0.834,0.614,2.686,10.010,-5.615
-0.017,0.829,0.658,-4.028,8.850,-10.193
-0.025,0.783,0.682,-7.629,7.568,-16.724
-0.035,0.722,0.689,-6.897,4.578,-24.292
-0.061,0.648,0.672,-1.160,0.000,-30.273
-0.081,0.591,0.646,7.263,-2.747,-31.738
