aX,aY,aZ,gX,gY,gZ
0.895,0.381,0.288,21.118,19.226,-14.343
0.879,0.376,0.280,26.733,19.775,-18.738
0.883,0.379,0.283,30.701,18.433,-20.569
0.895,0.381,0.297,35.461,17.517,-20.752
0.890,0.393,0.321,34.485,18.799,-19.592
0.893,0.395,0.338,29.724,20.508,-17.700
0.886,0.390,0.351,28.625,22.034,-17.822
0.859,0.379,0.327,27.710,24.353,-19.714
0.858,0.355,0.317,25.818,24.902,-21.851
0.829,0.320,0.302,24.902,23.315,-23.804
0.853,0.296,0.331,24.475,22.583,-25.208
0.864,0.269,0.359,26.672,22.827,-26.245
0.867,0.242,0.359,31.189,22.888,-27.954
0.861,0.225,0.362,34.302,21.118,-29.602
0.847,0.245,0.382,36.682,19.226,-30.396
0.847,0.264,0.385,40.405,18.311,-30.090
0.864,0.285,0.393,43.579,18.433,-29.480
0.890,0.306,0.442,42.480,20.569,-28.564
0.903,0.308,0.491,38.818,24.292,-27.954
0.854,0.272,0.448,34.912,29.785,-28.931
0.819,0.238,0.341,30.151,36.255,-28.931
0.863,0.206,0.317,24.719,39.368,-24.170

-0.348,1.030,-1.711,-67.688,-14.221,313.660
-0.405,1.109,-1.715,-64.697,-32.715,300.415
-0.440,1.119,-1.622,-60.059,-51.086,281.799
-0.568,1.077,-1.547,-57.251,-64.636,262.634
-0.723,1.031,-1.453,-59.570,-78.430,247.314
-0.871,0.996,-1.274,-66.833,-94.238,239.380
-0.996,0.996,-1.152,-69.519,-113.098,238.037
-1.165,1.133,-1.145,-52.979,-119.019,237.610
-1.352,1.208,-1.017,-53.345,-125.183,235.046
-1.505,1.392,-1.056,-57.739,-135.132,230.347
-1.695,1.531,-0.989,-61.707,-148.621,220.703
-1.859,1.675,-0.949,-78.735,-168.823,206.177
-1.927,1.788,-0.800,-75.867,-187.439,190.002
-1.957,1.806,-0.639,-68.787,-205.566,169.312
-2.149,1.897,-0.582,-68.115,-226.624,137.573
-2.288,1.791,-0.444,-50.110,-236.633,117.920
-2.436,1.684,-0.338,-23.499,-246.277,104.614
-2.483,1.673,-0.177,9.705,-258.789,91.919
-2.496,1.747,-0.006,34.302,-276.489,78.796
-2.430,1.837,0.211,56.213,-296.814,54.810
-2.301,1.793,0.497,82.642,-314.270,17.517
