aX,aY,aZ,gX,gY,gZ
0.316,-0.915,-0.148,2.380,12.268,-2.747
0.285,-0.937,-0.126,0.854,-0.244,-5.005
0.248,-0.950,-0.104,-1.892,-7.202,-5.310
0.208,-0.971,-0.077,-5.554,-8.423,-4.272
0.194,-0.980,-0.052,-8.789,-5.920,-0.977
0.220,-0.978,-0.016,-12.512,-1.648,3.967
0.263,-0.949,0.033,-16.174,0.854,7.996
0.303,-0.949,0.070,-18.188,0.305,7.874
0.337,-0.949,0.097,-18.494,-1.160,5.859
0.355,-0.945,0.114,-17.151,-3.418,5.432
0.374,-0.939,0.131,-15.381,-6.226,5.066
0.390,-0.947,0.151,-13.916,-7.935,4.089
0.392,-0.956,0.182,-13.000,-8.911,3.601
0.390,-0.967,0.205,-10.925,-10.071,4.272
0.387,-0.974,0.207,-8.301,-10.803,5.920
0.392,-0.970,0.204,-6.470,-10.681,7.751
0.397,-0.958,0.192,-5.371,-9.033,10.254
0.422,-0.940,0.188,-5.005,-5.554,12.390
0.449,-0.924,0.187,-3.906,-1.831,12.939
0.476,-0.911,0.181,-1.160,0.916,11.658
0.476,-0.923,0.155,0.977,3.235,9.033
0.470,-0.927,0.114,-0.244,6.042,5.554
0.460,-0.930,0.102,-3.357,7.874,2.136
0.439,-0.920,0.099,-4.028,8.911,0.244
0.412,-0.909,0.093,-1.160,9.033,-0.793
0.387,-0.924,0.069,4.761,6.470,-2.136
0.379,-0.925,0.053,7.996,3.906,-1.038
0.366,-0.922,0.066,6.958,0.549,0.427
0.356,-0.921,0.092,5.066,-1.770,1.404
0.357,-0.922,0.112,4.944,-3.540,2.869
0.362,-0.919,0.130,5.859,-4.333,4.761
0.375,-0.913,0.150,5.432,-4.395,5.554
0.384,-0.910,0.167,5.188,-3.174,5.188
0.393,-0.911,0.173,6.226,-1.404,4.517
0.400,-0.911,0.158,7.141,0.854,3.845
0.407,-0.913,0.144,6.531,2.808,3.723
0.411,-0.911,0.129,5.554,4.211,3.784
0.414,-0.904,0.106,6.042,4.456,4.517
0.423,-0.896,0.090,6.653,4.150,4.822
0.435,-0.894,0.074,6.836,3.113,5.066
0.441,-0.889,0.076,6.226,2.197,4.639
0.443,-0.890,0.087,5.310,1.160,4.089
0.450,-0.898,0.107,4.883,-0.305,3.357
0.443,-0.897,0.120,4.944,-1.221,2.869
0.439,-0.901,0.130,5.493,-1.404,2.136
0.422,-0.908,0.130,5.676,0.061,1.282
0.408,-0.917,0.125,5.981,3.235,0.732
0.401,-0.922,0.110,6.409,5.920,0.793
0.403,-0.922,0.092,4.944,8.118,0.549
0.406,-0.928,0.078,2.808,9.705,-0.549
0.410,-0.935,0.068,0.427,10.132,-1.831
0.405,-0.938,0.071,-1.953,9.460,-3.052
0.402,-0.948,0.071,-3.662,7.568,-4.089
0.387,-0.948,0.082,-5.005,5.127,-4.211
0.378,-0.951,0.091,-5.188,2.869,-4.089
0.372,-0.949,0.101,-4.089,1.282,-3.662

0.638,-0.049,2.027,70.496,-34.851,-55.054
0.577,-0.095,2.160,87.952,-40.466,-60.852
0.506,-0.140,2.221,109.680,-38.757,-59.998
0.450,-0.161,2.243,129.333,-27.405,-53.040
0.390,-0.163,2.219,146.973,-11.841,-42.358
0.387,-0.104,2.163,164.062,-0.305,-30.457
0.401,-0.031,2.110,178.528,4.639,-22.522
0.396,0.025,2.075,189.209,3.784,-21.667
0.356,0.040,2.035,196.655,1.648,-23.987
0.329,0.048,1.982,202.820,-0.610,-24.170
0.304,0.073,1.939,205.933,-3.357,-21.362
0.264,0.097,1.915,205.994,-5.676,-17.456
0.222,0.147,1.896,206.970,-6.653,-13.062
0.171,0.192,1.877,209.351,-5.737,-7.812
0.130,0.248,1.839,214.417,-3.174,-2.258
0.083,0.288,1.779,220.154,2.380,3.235
0.043,0.305,1.661,228.821,13.855,8.240
0.051,0.349,1.491,239.014,31.067,13.062
0.053,0.392,1.308,244.507,50.049,13.855
0.089,0.447,1.148,246.887,66.284,9.338
0.126,0.483,1.022,242.859,71.350,0.671
0.108,0.455,0.913,235.474,62.744,-10.742
0.024,0.374,0.794,229.126,48.950,-20.935
-0.054,0.296,0.708,227.173,39.368,-23.865
-0.125,0.226,0.622,229.492,37.537,-18.188
-0.135,0.180,0.501,232.910,45.044,-5.066
-0.087,0.227,0.445,225.037,50.659,11.353
-0.054,0.241,0.447,212.158,48.035,23.315
0.048,0.296,0.389,208.801,46.326,26.855
0.108,0.299,0.299,210.022,51.758,17.883
0.079,0.217,0.219,209.106,61.707,1.221
0.028,0.107,0.096,205.566,67.810,-8.179
0.042,0.031,-0.033,199.829,66.711,-9.338
0.095,0.006,-0.129,190.613,52.979,-7.324
0.137,-0.036,-0.193,184.387,32.715,-8.423
0.158,-0.101,-0.253,183.289,16.296,-11.047
0.152,-0.181,-0.297,183.777,6.531,-11.780
0.156,-0.234,-0.362,182.251,5.676,-7.324
0.189,-0.283,-0.418,176.270,14.526,-2.197
0.228,-0.305,-0.473,162.781,33.142,2.747
0.291,-0.344,-0.517,145.386,55.908,3.052
0.301,-0.411,-0.586,129.272,74.219,-2.502
0.284,-0.504,-0.662,117.676,81.604,-9.155
0.266,-0.553,-0.740,111.450,75.500,-13.794
0.265,-0.597,-0.820,107.971,58.655,-16.724
0.257,-0.657,-0.857,103.882,36.560,-19.592
0.244,-0.697,-0.852,98.267,15.198,-19.592
0.245,-0.725,-0.828,90.149,0.122,-16.357
0.277,-0.737,-0.778,78.430,-4.517,-11.841
0.326,-0.732,-0.702,63.293,-5.249,-7.568
0.375,-0.738,-0.625,47.058,-7.507,-5.554
0.413,-0.750,-0.532,32.715,-12.207,-7.202
0.441,-0.773,-0.419,20.020,-17.883,-10.437
0.458,-0.791,-0.278,10.376,-25.330,-14.160
0.465,-0.794,-0.147,7.629,-33.264,-19.287
0.443,-0.826,-0.039,10.498,-39.734,-27.039
0.376,-0.884,0.007,17.090,-43.762,-34.424
0.305,-0.930,0.025,22.766,-42.114,-36.987
0.277,-0.947,0.031,23.315,-31.250,-33.325
0.271,-0.945,0.015,17.151,-14.648,-26.917
0.268,-0.940,-0.010,7.751,2.686,-22.705
0.250,-0.960,-0.030,-0.793,16.052,-20.203
0.237,-0.979,-0.048,-5.432,19.043,-15.503
0.235,-0.991,-0.059,-6.958,13.000,-8.789
0.246,-0.995,-0.052,-8.179,1.953,-2.991
0.264,-0.986,0.004,-10.986,-8.667,2.136
0.279,-0.966,0.092,-12.573,-18.799,5.127
0.283,-0.959,0.159,-8.423,-25.391,3.601
0.265,-0.974,0.179,-1.404,-25.818,-0.671
0.239,-0.986,0.173,3.296,-19.897,-3.662
0.221,-0.997,0.157,4.333,-10.193,-3.418
0.232,-0.997,0.135,3.723,-2.136,-0.793
0.262,-0.986,0.108,2.441,2.686,2.014
0.284,-0.980,0.078,0.793,3.723,3.540
0.317,-0.981,0.061,-1.038,1.282,4.944
0.332,-0.981,0.067,-3.845,-2.625,5.615
0.330,-0.981,0.087,-6.348,-6.470,6.470
0.332,-0.974,0.111,-6.958,-9.644,7.751
0.330,-0.965,0.139,-6.348,-10.315,8.728
0.314,-0.967,0.147,-4.028,-8.667,7.874
0.302,-0.968,0.144,-1.831,-5.188,7.141
0.295,-0.966,0.142,-1.038,-1.099,6.958
0.289,-0.967,0.132,0.671,1.770,7.446
0.307,-0.949,0.122,2.625,2.869,8.667
0.323,-0.932,0.113,3.906,2.136,8.728
0.331,-0.928,0.104,5.249,0.732,7.385
0.334,-0.938,0.103,6.042,-1.892,7.324
0.339,-0.947,0.092,5.188,-4.700,7.874
0.344,-0.951,0.089,2.441,-6.409,7.751
0.361,-0.938,0.104,0.610,-7.629,7.874
0.367,-0.924,0.107,1.953,-6.104,7.141
0.361,-0.926,0.109,6.470,-3.906,4.150
0.349,-0.946,0.097,12.146,-1.038,0.977
0.348,-0.956,0.084,16.174,3.052,1.343
0.347,-0.959,0.082,16.968,4.761,2.869
0.340,-0.961,0.079,17.395,6.165,3.601
0.343,-0.958,0.065,17.395,5.920,4.822
0.343,-0.945,0.051,15.442,4.883,5.798
0.341,-0.944,0.039,12.573,3.784,6.287
0.345,-0.937,0.036,9.094,2.563,6.226
0.341,-0.937,0.036,6.042,0.061,6.348
0.349,-0.929,0.040,4.211,-3.113,6.653
0.356,-0.917,0.046,2.319,-4.883,5.798
0.354,-0.918,0.055,-0.427,-4.700,2.930
0.350,-0.927,0.073,-2.563,-2.686,0.305
0.337,-0.933,0.088,-2.930,0.000,-1.526
0.326,-0.939,0.083,-1.282,1.648,-3.052
0.317,-0.939,0.073,0.488,1.648,-3.296
0.312,-0.946,0.070,1.709,1.221,-3.052
0.303,-0.951,0.065,1.770,0.916,-1.770
0.310,-0.945,0.058,1.099,0.977,0.061
0.313,-0.943,0.048,0.183,1.160,1.648
0.321,-0.941,0.033,-1.526,1.526,2.563
0.333,-0.935,0.022,-3.967,1.953,2.991
0.341,-0.935,0.015,-6.592,2.502,2.502
0.338,-0.936,0.011,-8.789,2.502,1.404
0.340,-0.930,0.016,-10.742,1.831,0.610
0.339,-0.929,0.026,-11.963,-0.244,-0.061
0.337,-0.924,0.039,-12.146,-2.808,-1.404

0.512,-0.097,1.984,87.708,-35.706,-32.532
0.514,-0.086,2.024,98.816,-31.921,-29.663
0.509,-0.072,2.055,111.206,-33.936,-28.748
0.501,-0.058,2.079,125.305,-40.466,-28.625
0.480,-0.030,2.103,139.648,-47.852,-28.503
0.450,-0.017,2.166,153.076,-55.298,-28.381
0.412,0.012,2.243,169.800,-62.439,-26.367
0.429,0.054,2.307,190.002,-64.087,-22.827
0.403,0.100,2.378,209.045,-60.059,-19.653
0.357,0.112,2.383,229.614,-48.096,-16.052
0.318,0.140,2.341,247.803,-29.968,-9.705
0.299,0.193,2.236,262.573,-11.658,-1.892
0.294,0.256,2.072,276.184,7.202,3.662
0.268,0.283,1.879,286.194,22.644,4.028
0.219,0.282,1.704,293.884,24.353,2.258
0.162,0.288,1.547,298.889,14.893,1.465
0.144,0.305,1.438,300.232,5.188,2.686
0.103,0.297,1.359,294.312,-0.122,4.089
0.054,0.276,1.305,284.546,-0.732,8.911
0.043,0.286,1.256,274.414,4.578,17.578
0.028,0.325,1.203,263.611,15.503,25.696
-0.029,0.348,1.111,255.615,32.043,31.189
-0.072,0.350,0.966,256.287,54.626,36.133
-0.106,0.377,0.786,260.376,76.843,40.955
-0.137,0.391,0.561,265.442,90.515,45.105
-0.139,0.395,0.333,270.081,95.398,46.814
-0.106,0.387,0.134,271.301,96.008,45.898
-0.040,0.385,-0.013,264.648,87.524,40.283
0.026,0.375,-0.132,253.601,72.083,28.992
0.069,0.349,-0.212,242.432,55.542,11.353
0.058,0.272,-0.321,232.361,41.748,-9.949
0.058,0.199,-0.438,221.924,33.691,-29.236
0.007,0.082,-0.485,206.665,33.813,-45.166
-0.058,-0.051,-0.488,188.721,35.278,-51.514
-0.098,-0.160,-0.497,176.758,35.217,-46.692
-0.101,-0.206,-0.530,170.532,34.180,-34.485
-0.063,-0.233,-0.600,166.504,33.691,-20.996
0.007,-0.267,-0.707,164.551,34.302,-10.315
0.097,-0.276,-0.819,157.410,39.001,-4.150
0.197,-0.284,-0.899,142.578,45.593,-3.540
0.262,-0.329,-0.942,123.779,51.392,-8.667
0.296,-0.405,-0.961,103.271,55.664,-19.043
0.310,-0.487,-0.930,83.069,57.800,-29.846
0.278,-0.572,-0.875,67.505,52.002,-38.025
0.258,-0.642,-0.804,57.800,34.851,-41.321
0.253,-0.720,-0.714,53.406,14.038,-39.612
0.247,-0.768,-0.612,52.246,-7.751,-35.156
0.258,-0.793,-0.515,51.636,-26.672,-28.503
0.258,-0.831,-0.405,49.866,-37.109,-21.912
0.259,-0.863,-0.317,48.706,-38.696,-15.076
0.279,-0.876,-0.257,45.410,-32.410,-8.362
0.307,-0.865,-0.219,38.391,-19.958,-3.601
0.330,-0.851,-0.202,30.029,-4.456,-2.258
0.333,-0.870,-0.185,23.193,8.911,-4.700
0.344,-0.882,-0.141,16.602,14.160,-7.996
0.359,-0.893,-0.105,11.963,6.897,-11.963
0.366,-0.906,-0.058,12.024,-6.897,-17.944
0.356,-0.917,-0.028,15.381,-17.273,-23.071
0.329,-0.944,0.003,17.578,-28.442,-28.259
0.271,-0.981,0.024,19.897,-32.898,-31.006
0.216,-1.009,0.036,22.278,-26.611,-30.762
0.172,-1.034,0.013,23.804,-11.597,-27.222
0.138,-1.045,-0.023,23.132,7.507,-20.325
0.116,-1.048,-0.062,21.973,27.100,-12.329
0.123,-1.048,-0.121,21.362,39.917,-4.761
0.165,-1.017,-0.177,19.226,43.457,1.892
0.211,-0.982,-0.214,14.038,39.185,5.554
0.237,-0.971,-0.234,8.789,28.931,2.625
0.233,-0.984,-0.227,5.615,15.625,-2.625
0.216,-0.997,-0.213,3.418,2.258,-5.920
0.193,-1.007,-0.178,0.732,-6.348,-6.836
0.180,-1.016,-0.141,-1.953,-9.277,-6.042
0.179,-1.017,-0.105,-5.981,-7.751,-3.418
0.177,-1.009,-0.072,-10.315,-3.723,0.732
0.189,-1.003,-0.050,-12.512,0.916,4.272
0.203,-0.997,-0.044,-12.878,4.089,7.996
0.221,-0.989,-0.057,-10.986,4.761,10.437
